GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
game-engine-service,com.khalamai.tictactoe.gameengine,GameEngineServiceApplication,5,3,0,0,2,1,1,1,1,1
game-engine-service,com.khalamai.tictactoe.gameengine.service.impl,BoardServiceImpl,0,51,0,4,0,8,0,8,0,6
game-engine-service,com.khalamai.tictactoe.gameengine.service.impl,GameServiceImpl,23,206,1,7,2,26,1,12,0,9
game-engine-service,com.khalamai.tictactoe.gameengine.service.impl,WinDetectorServiceImpl,0,414,0,8,0,6,0,10,0,6
game-engine-service,com.khalamai.tictactoe.gameengine.dto,GameResponse,0,15,0,0,0,1,0,1,0,1
game-engine-service,com.khalamai.tictactoe.gameengine.dto,CellResponse,0,12,0,0,0,1,0,1,0,1
game-engine-service,com.khalamai.tictactoe.gameengine.dto,MoveRequest,0,12,0,0,0,1,0,1,0,1
game-engine-service,com.khalamai.tictactoe.gameengine.domain.exception,GameNotFoundException,0,11,0,0,0,2,0,1,0,1
game-engine-service,com.khalamai.tictactoe.gameengine.domain.exception,InvalidMoveException,0,4,0,0,0,2,0,1,0,1
game-engine-service,com.khalamai.tictactoe.gameengine.domain.exception,GameAlreadyFinishedException,0,11,0,0,0,2,0,1,0,1
game-engine-service,com.khalamai.tictactoe.gameengine.web,GameController,5,6,0,0,1,1,1,1,1,1
game-engine-service,com.khalamai.tictactoe.gameengine.config,TransactionConfig,0,8,0,0,0,2,0,2,0,2
game-engine-service,com.khalamai.tictactoe.gameengine.service.mapper,GameResponseMapperImpl,2,39,1,3,1,10,1,3,0,2
game-engine-service,com.khalamai.tictactoe.gameengine.service.mapper,GameResponseMapper,0,16,0,0,0,3,0,2,0,2
game-engine-service,com.khalamai.tictactoe.gameengine.web.error,GlobalExceptionHandler,6,9,0,0,1,2,1,2,1,2
game-engine-service,com.khalamai.tictactoe.gameengine.domain.entity,Cell,0,12,0,0,0,1,0,1,0,1
game-engine-service,com.khalamai.tictactoe.gameengine.domain.entity,Game,0,17,0,0,0,6,0,1,0,1
