GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
game-session-service,com.khalamai.tictactoe.gamesession.dto,SessionResponse,0,18,0,0,0,1,0,1,0,1
game-session-service,com.khalamai.tictactoe.gamesession.dto,MoveRecordResponse,0,15,0,0,0,1,0,1,0,1
game-session-service,com.khalamai.tictactoe.gamesession.dto,CellResponse,0,12,0,0,0,1,0,1,0,1
game-session-service,com.khalamai.tictactoe.gamesession.client,EngineCell,0,12,0,0,0,1,0,1,0,1
game-session-service,com.khalamai.tictactoe.gamesession.client,EngineMoveRequest,0,12,0,0,0,1,0,1,0,1
game-session-service,com.khalamai.tictactoe.gamesession.client,EngineGameResponse,0,15,0,0,0,1,0,1,0,1
game-session-service,com.khalamai.tictactoe.gamesession.client,GameEngineClient,11,53,0,0,3,13,0,4,0,4
game-session-service,com.khalamai.tictactoe.gamesession.web.error,GlobalExceptionHandler,12,9,0,0,2,2,2,2,2,2
game-session-service,com.khalamai.tictactoe.gamesession.domain.exception,SessionAlreadySimulatedException,11,0,0,0,2,0,1,0,1,0
game-session-service,com.khalamai.tictactoe.gamesession.domain.exception,GameEngineCommunicationException,0,5,0,0,0,2,0,1,0,1
game-session-service,com.khalamai.tictactoe.gamesession.domain.exception,SessionNotFoundException,0,11,0,0,0,2,0,1,0,1
game-session-service,com.khalamai.tictactoe.gamesession.service,MoveGeneratorService.Cell,0,9,0,0,0,1,0,1,0,1
game-session-service,com.khalamai.tictactoe.gamesession.config,WebConfig,0,26,0,0,0,5,0,2,0,2
game-session-service,com.khalamai.tictactoe.gamesession.config,RestClientConfig,0,23,0,0,0,8,0,4,0,4
game-session-service,com.khalamai.tictactoe.gamesession.domain.enums,SessionStatus,0,21,0,0,0,4,0,1,0,1
game-session-service,com.khalamai.tictactoe.gamesession.domain.entity,Session,0,17,0,0,0,6,0,1,0,1
game-session-service,com.khalamai.tictactoe.gamesession.domain.entity,SessionMove,0,22,0,0,0,7,0,1,0,1
game-session-service,com.khalamai.tictactoe.gamesession.service.impl,RandomMoveGeneratorService,5,61,1,3,1,12,1,7,0,6
game-session-service,com.khalamai.tictactoe.gamesession.service.impl,SessionServiceImpl,5,192,2,4,1,35,2,14,0,13
game-session-service,com.khalamai.tictactoe.gamesession.web,SessionController,5,9,0,0,1,2,1,2,1,2
game-session-service,com.khalamai.tictactoe.gamesession.service.mapper,SessionResponseMapperImpl,6,102,3,5,3,30,3,5,0,4
game-session-service,com.khalamai.tictactoe.gamesession.service.mapper,SessionResponseMapper,0,16,0,0,0,3,0,2,0,2
game-session-service,com.khalamai.tictactoe.gamesession,GameSessionServiceApplication,5,3,0,0,2,1,1,1,1,1
